,vocals,accompaniment,drums,bass,other,MIX
The Long Wait - Back Home To Blue (78),261,37,0,0,37,287
The Long Wait - Back Home To Blue (79),114,40,0,0,40,151
The Long Wait - Back Home To Blue (80),221,45,0,0,45,262
The Long Wait - Back Home To Blue (81),238,67,0,0,67,304
The Long Wait - Back Home To Blue (82),7,55,0,0,55,61
The Long Wait - Back Home To Blue (83),0,0,0,0,0,0
The Long Wait - Back Home To Blue (84),0,0,0,0,0,0
The Long Wait - Back Home To Blue (85),0,0,0,0,0,0
The Long Wait - Back Home To Blue (86),0,0,0,0,0,0
The Scarlet Brand - Les Fleurs Du Mal (0),0,21,0,0,21,21
The Scarlet Brand - Les Fleurs Du Mal (1),5,20,0,0,20,24
The Scarlet Brand - Les Fleurs Du Mal (2),83,21,0,0,21,103
The Scarlet Brand - Les Fleurs Du Mal (3),22,18,0,0,18,40
The Scarlet Brand - Les Fleurs Du Mal (4),52,17,0,0,17,70
The Scarlet Brand - Les Fleurs Du Mal (5),14,58,0,35,23,71
The Scarlet Brand - Les Fleurs Du Mal (6),104,88,0,66,21,191
The Scarlet Brand - Les Fleurs Du Mal (7),21,56,0,41,19,77
The Scarlet Brand - Les Fleurs Du Mal (8),59,71,0,52,17,130
The Scarlet Brand - Les Fleurs Du Mal (9),54,69,0,54,16,121
The Scarlet Brand - Les Fleurs Du Mal (10),82,79,0,63,20,163
The Scarlet Brand - Les Fleurs Du Mal (11),48,97,0,80,17,145
The Scarlet Brand - Les Fleurs Du Mal (12),39,87,0,68,20,126
The Scarlet Brand - Les Fleurs Du Mal (13),0,789,348,338,92,789
The Scarlet Brand - Les Fleurs Du Mal (14),0,793,410,288,103,793
The Scarlet Brand - Les Fleurs Du Mal (15),0,897,447,312,99,897
The Scarlet Brand - Les Fleurs Du Mal (16),54,800,422,263,98,854
The Scarlet Brand - Les Fleurs Du Mal (17),376,808,384,319,105,1173
The Scarlet Brand - Les Fleurs Du Mal (18),502,788,381,316,100,1280
The Scarlet Brand - Les Fleurs Du Mal (19),617,841,362,370,95,1454
The Scarlet Brand - Les Fleurs Du Mal (20),445,777,438,259,100,1236
The Scarlet Brand - Les Fleurs Du Mal (21),385,816,391,311,102,1211
The Scarlet Brand - Les Fleurs Du Mal (22),318,743,389,275,96,1059
The Scarlet Brand - Les Fleurs Du Mal (23),241,742,345,315,92,981
The Scarlet Brand - Les Fleurs Du Mal (24),61,521,285,193,50,578
The Scarlet Brand - Les Fleurs Du Mal (25),0,228,113,90,19,228
The Scarlet Brand - Les Fleurs Du Mal (26),106,216,101,101,21,322
The Scarlet Brand - Les Fleurs Du Mal (27),169,205,96,84,19,371
The Scarlet Brand - Les Fleurs Du Mal (28),151,215,109,93,16,359
The Scarlet Brand - Les Fleurs Du Mal (29),110,237,103,113,21,347
The Scarlet Brand - Les Fleurs Du Mal (30),229,263,124,111,16,488
The Scarlet Brand - Les Fleurs Du Mal (31),201,247,156,75,14,446
The Scarlet Brand - Les Fleurs Du Mal (32),175,261,106,129,15,429
The Scarlet Brand - Les Fleurs Du Mal (33),115,270,147,101,13,381
The Scarlet Brand - Les Fleurs Du Mal (34),0,419,238,118,22,419
The Scarlet Brand - Les Fleurs Du Mal (35),0,711,420,231,46,711
The Scarlet Brand - Les Fleurs Du Mal (36),0,851,478,282,105,851
The Scarlet Brand - Les Fleurs Du Mal (37),0,851,444,327,95,851
The Scarlet Brand - Les Fleurs Du Mal (38),0,851,438,334,100,851
The Scarlet Brand - Les Fleurs Du Mal (39),296,877,453,308,107,1163
The Scarlet Brand - Les Fleurs Du Mal (40),527,799,360,301,104,1334
The Scarlet Brand - Les Fleurs Du Mal (41),649,776,367,313,99,1433
The Scarlet Brand - Les Fleurs Du Mal (42),610,805,373,306,101,1413
The Scarlet Brand - Les Fleurs Du Mal (43),373,814,341,369,102,1183
The Scarlet Brand - Les Fleurs Du Mal (44),270,767,349,295,108,1033
The Scarlet Brand - Les Fleurs Du Mal (45),359,792,360,321,102,1150
The Scarlet Brand - Les Fleurs Du Mal (46),459,804,333,343,113,1245
The Scarlet Brand - Les Fleurs Du Mal (47),0,690,72,464,145,690
The Scarlet Brand - Les Fleurs Du Mal (48),0,341,6,188,148,341
The Scarlet Brand - Les Fleurs Du Mal (49),0,198,9,60,129,198
The Scarlet Brand - Les Fleurs Du Mal (50),0,187,17,43,127,187
The Scarlet Brand - Les Fleurs Du Mal (51),0,154,1,11,141,154
The Scarlet Brand - Les Fleurs Du Mal (52),0,112,7,3,101,112
The Scarlet Brand - Les Fleurs Du Mal (53),0,126,17,5,104,126
The Scarlet Brand - Les Fleurs Du Mal (54),0,883,228,378,260,883
The Scarlet Brand - Les Fleurs Du Mal (55),0,1184,470,401,279,1184
The Scarlet Brand - Les Fleurs Du Mal (56),0,1024,411,333,267,1024
The Scarlet Brand - Les Fleurs Du Mal (57),0,1031,429,358,246,1031
The Scarlet Brand - Les Fleurs Du Mal (58),0,1065,463,317,250,1065
The Scarlet Brand - Les Fleurs Du Mal (59),0,1084,466,384,245,1084
The Scarlet Brand - Les Fleurs Du Mal (60),0,970,446,328,239,970
The Scarlet Brand - Les Fleurs Du Mal (61),0,1019,421,341,243,1019
The Scarlet Brand - Les Fleurs Du Mal (62),0,988,408,353,242,988
The Scarlet Brand - Les Fleurs Du Mal (63),0,906,358,340,243,906
The Scarlet Brand - Les Fleurs Du Mal (64),0,994,396,346,244,994
The Scarlet Brand - Les Fleurs Du Mal (65),0,892,348,312,227,892
The Scarlet Brand - Les Fleurs Du Mal (66),0,1013,411,367,229,1013
The Scarlet Brand - Les Fleurs Du Mal (67),0,956,367,341,258,956
The Scarlet Brand - Les Fleurs Du Mal (68),0,966,436,263,243,966
The Scarlet Brand - Les Fleurs Du Mal (69),0,861,260,390,187,861
The Scarlet Brand - Les Fleurs Du Mal (70),0,393,7,338,61,393
The Scarlet Brand - Les Fleurs Du Mal (71),0,122,2,94,20,122
The Scarlet Brand - Les Fleurs Du Mal (72),4,10,0,3,7,15
The Scarlet Brand - Les Fleurs Du Mal (73),27,9,0,0,9,42
The Scarlet Brand - Les Fleurs Du Mal (74),27,10,0,0,10,43
The Scarlet Brand - Les Fleurs Du Mal (75),29,11,0,0,11,43
The Scarlet Brand - Les Fleurs Du Mal (76),46,18,0,0,18,68
The Scarlet Brand - Les Fleurs Du Mal (77),24,11,0,0,11,40
The Scarlet Brand - Les Fleurs Du Mal (78),23,23,0,0,23,48
The Scarlet Brand - Les Fleurs Du Mal (79),29,14,0,0,14,48
The Scarlet Brand - Les Fleurs Du Mal (80),20,14,0,0,14,28
The Scarlet Brand - Les Fleurs Du Mal (81),20,6,0,0,6,27
The Scarlet Brand - Les Fleurs Du Mal (82),68,73,0,0,73,158
The Scarlet Brand - Les Fleurs Du Mal (83),56,50,0,0,50,105
The Scarlet Brand - Les Fleurs Du Mal (84),364,623,237,260,97,955
The Scarlet Brand - Les Fleurs Du Mal (85),593,931,437,387,104,1533
The Scarlet Brand - Les Fleurs Du Mal (86),769,891,517,297,98,1671
The Scarlet Brand - Les Fleurs Du Mal (87),759,978,511,384,101,1749
The Scarlet Brand - Les Fleurs Du Mal (88),642,869,430,307,102,1512
The Scarlet Brand - Les Fleurs Du Mal (89),502,955,462,402,100,1445
The Scarlet Brand - Les Fleurs Du Mal (90),525,928,471,343,100,1419
The Scarlet Brand - Les Fleurs Du Mal (91),588,1060,533,426,101,1637
The Scarlet Brand - Les Fleurs Du Mal (92),1,510,38,384,94,511
The Scarlet Brand - Les Fleurs Du Mal (93),0,158,4,122,30,158
The Scarlet Brand - Les Fleurs Du Mal (94),0,32,2,12,18,32
The Scarlet Brand - Les Fleurs Du Mal (95),0,31,0,0,31,31
The Scarlet Brand - Les Fleurs Du Mal (96),0,25,0,0,25,25
The Scarlet Brand - Les Fleurs Du Mal (97),0,16,0,0,16,16
The Scarlet Brand - Les Fleurs Du Mal (98),0,23,0,0,23,23
The Scarlet Brand - Les Fleurs Du Mal (99),0,130,12,80,36,130
The Scarlet Brand - Les Fleurs Du Mal (100),0,140,14,102,15,140
The Scarlet Brand - Les Fleurs Du Mal (101),0,28,0,28,1,28
The So So Glos - Emergency (0),0,829,278,146,403,829
The So So Glos - Emergency (1),0,573,362,139,80,573
The So So Glos - Emergency (2),296,474,338,97,25,762
The So So Glos - Emergency (3),74,761,347,280,149,834
The So So Glos - Emergency (4),264,450,315,87,32,709
The So So Glos - Emergency (5),90,767,360,282,134,856
The So So Glos - Emergency (6),214,496,305,115,82,714
The So So Glos - Emergency (7),122,760,342,271,128,882
The So So Glos - Emergency (8),153,627,335,177,127,775
The So So Glos - Emergency (9),173,787,345,310,147,958
The So So Glos - Emergency (10),225,615,293,170,140,847
The So So Glos - Emergency (11),232,891,333,294,268,1130
The So So Glos - Emergency (12),359,1017,375,311,358,1382
The So So Glos - Emergency (13),428,1055,352,351,313,1502
The So So Glos - Emergency (14),316,1082,379,342,361,1396
The So So Glos - Emergency (15),265,498,334,119,48,763
The So So Glos - Emergency (16),75,995,404,289,305,1073
The So So Glos - Emergency (17),248,442,323,52,63,689
The So So Glos - Emergency (18),98,996,376,319,282,1093
The So So Glos - Emergency (19),284,501,294,86,120,781
The So So Glos - Emergency (20),324,1061,455,288,318,1394
The So So Glos - Emergency (21),507,1028,356,383,297,1554
The So So Glos - Emergency (22),388,1126,389,321,412,1509
The So So Glos - Emergency (23),252,1027,348,351,359,1287
The So So Glos - Emergency (24),281,1098,408,348,381,1379
The So So Glos - Emergency (25),440,1054,385,298,381,1495
The So So Glos - Emergency (26),325,1075,418,304,369,1391
The So So Glos - Emergency (27),504,1048,355,311,412,1548
The So So Glos - Emergency (28),105,1000,311,308,363,1105
The So So Glos - Emergency (29),32,1095,333,364,397,1131
The So So Glos - Emergency (30),311,1118,322,324,436,1430
The So So Glos - Emergency (31),0,1120,301,377,447,1121
The So So Glos - Emergency (32),186,1072,300,358,434,1268
The So So Glos - Emergency (33),186,499,277,195,61,692
The So So Glos - Emergency (34),19,371,266,85,18,391
The So So Glos - Emergency (35),334,377,236,29,104,714
The So So Glos - Emergency (36),143,953,385,294,280,1095
The So So Glos - Emergency (37),254,483,258,79,135,739
The So So Glos - Emergency (38),176,933,360,297,244,1106
The So So Glos - Emergency (39),352,770,292,243,226,1113
The So So Glos - Emergency (40),99,609,298,214,98,701
The So So Glos - Emergency (41),0,413,242,159,1,413
The So So Glos - Emergency (42),3,403,246,158,0,407
The So So Glos - Emergency (43),452,456,277,134,48,908
The So So Glos - Emergency (44),290,1001,336,359,303,1293
The So So Glos - Emergency (45),290,978,337,315,314,1260
The So So Glos - Emergency (46),368,964,307,369,297,1312
The So So Glos - Emergency (47),471,1049,370,305,346,1540
The So So Glos - Emergency (48),115,1058,326,350,370,1183
The So So Glos - Emergency (49),133,1068,350,325,370,1193
The So So Glos - Emergency (50),488,1068,377,297,371,1560
The So So Glos - Emergency (51),206,1299,385,377,546,1536
The So So Glos - Emergency (52),15,1185,302,322,564,1187
The So So Glos - Emergency (53),343,1253,347,316,579,1588
The So So Glos - Emergency (54),466,722,334,237,158,1185
The So So Glos - Emergency (55),0,373,270,91,12,373
The Wrong'Uns - Rothko (0),0,0,0,0,0,0
The Wrong'Uns - Rothko (1),0,0,0,0,0,0
The Wrong'Uns - Rothko (2),0,69,0,0,69,69
The Wrong'Uns - Rothko (3),0,153,0,0,153,153
The Wrong'Uns - Rothko (4),0,188,0,0,188,188
The Wrong'Uns - Rothko (5),16,241,25,3,217,254
The Wrong'Uns - Rothko (6),198,534,223,101,235,727
The Wrong'Uns - Rothko (7),421,597,231,111,244,1014
The Wrong'Uns - Rothko (8),149,580,227,97,255,729
The Wrong'Uns - Rothko (9),220,714,290,143,271,940
The Wrong'Uns - Rothko (10),217,720,412,117,206,931
The Wrong'Uns - Rothko (11),341,637,284,153,219,978
The Wrong'Uns - Rothko (12),322,531,241,125,196,857
The Wrong'Uns - Rothko (13),289,676,294,131,276,965
The Wrong'Uns - Rothko (14),193,559,202,141,202,754
The Wrong'Uns - Rothko (15),217,683,229,184,246,898
The Wrong'Uns - Rothko (16),244,817,352,197,239,1069
The Wrong'Uns - Rothko (17),345,739,313,173,261,1084
The Wrong'Uns - Rothko (18),358,615,205,151,250,968
The Wrong'Uns - Rothko (19),329,769,290,176,261,1087
The Wrong'Uns - Rothko (20),467,465,211,107,178,929
The Wrong'Uns - Rothko (21),382,633,334,137,183,1005
The Wrong'Uns - Rothko (22),247,628,239,184,235,881
The Wrong'Uns - Rothko (23),311,661,264,184,181,981
The Wrong'Uns - Rothko (24),290,635,238,127,264,932
The Wrong'Uns - Rothko (25),279,689,265,214,214,968
The Wrong'Uns - Rothko (26),381,804,403,191,185,1191
The Wrong'Uns - Rothko (27),407,644,242,157,241,1061
The Wrong'Uns - Rothko (28),216,631,245,153,224,848
The Wrong'Uns - Rothko (29),277,644,246,150,257,918
The Wrong'Uns - Rothko (30),273,726,242,204,250,996
The Wrong'Uns - Rothko (31),274,669,247,217,229,938
The Wrong'Uns - Rothko (32),289,677,288,152,228,974
The Wrong'Uns - Rothko (33),420,670,315,172,236,1095
The Wrong'Uns - Rothko (34),285,715,139,275,300,1001
The Wrong'Uns - Rothko (35),321,821,263,231,312,1170
The Wrong'Uns - Rothko (36),470,561,121,193,197,1034
The Wrong'Uns - Rothko (37),109,871,360,234,274,983
The Wrong'Uns - Rothko (38),0,736,278,197,273,736
The Wrong'Uns - Rothko (39),0,720,224,192,304,720
The Wrong'Uns - Rothko (40),0,772,288,209,272,772
The Wrong'Uns - Rothko (41),0,710,239,238,243,710
The Wrong'Uns - Rothko (42),0,786,400,204,179,786
The Wrong'Uns - Rothko (43),0,588,197,200,191,588
The Wrong'Uns - Rothko (44),0,831,248,257,322,831
The Wrong'Uns - Rothko (45),0,724,223,193,278,724
The Wrong'Uns - Rothko (46),0,927,231,279,404,926
The Wrong'Uns - Rothko (47),343,834,404,216,233,1174
The Wrong'Uns - Rothko (48),376,616,204,205,201,982
The Wrong'Uns - Rothko (49),221,614,205,207,205,828
The Wrong'Uns - Rothko (50),322,713,217,224,291,1020
The Wrong'Uns - Rothko (51),240,686,205,282,193,927
The Wrong'Uns - Rothko (52),329,657,194,275,221,979
The Wrong'Uns - Rothko (53),275,841,255,245,313,1128
The Wrong'Uns - Rothko (54),431,799,354,224,228,1242
The Wrong'Uns - Rothko (55),326,693,142,323,266,1019
The Wrong'Uns - Rothko (56),380,881,280,257,308,1255
The Wrong'Uns - Rothko (57),416,733,195,272,277,1142
The Wrong'Uns - Rothko (58),285,886,250,295,315,1172
The Wrong'Uns - Rothko (59),513,714,195,186,343,1232
The Wrong'Uns - Rothko (60),275,895,211,345,320,1177
The Wrong'Uns - Rothko (61),392,818,297,233,281,1219
The Wrong'Uns - Rothko (62),555,565,1,254,313,1107
The Wrong'Uns - Rothko (63),442,549,53,256,351,975
The Wrong'Uns - Rothko (64),26,678,166,250,295,705
The Wrong'Uns - Rothko (65),0,498,96,195,217,498
The Wrong'Uns - Rothko (66),0,19,0,14,4,19
The Wrong'Uns - Rothko (67),0,0,0,0,0,0
Tim Taler - Stalker (0),0,10,10,0,0,10
Tim Taler - Stalker (1),178,81,22,0,61,257
Tim Taler - Stalker (2),69,91,26,0,65,161
Tim Taler - Stalker (3),87,129,26,0,99,216
Tim Taler - Stalker (4),109,126,23,0,98,243
Tim Taler - Stalker (5),172,154,26,0,128,324
Tim Taler - Stalker (6),23,146,31,0,111,169
Tim Taler - Stalker (7),175,100,22,0,78,283
Tim Taler - Stalker (8),92,122,33,0,86,211
Tim Taler - Stalker (9),112,128,33,0,96,230
Tim Taler - Stalker (10),164,99,22,0,77,260
Tim Taler - Stalker (11),176,146,33,0,112,328
Tim Taler - Stalker (12),163,149,33,0,116,315
Tim Taler - Stalker (13),290,371,78,113,188,633
Tim Taler - Stalker (14),193,415,100,121,197,613
Tim Taler - Stalker (15),160,415,97,131,194,582
Tim Taler - Stalker (16),398,493,103,161,226,891
Tim Taler - Stalker (17),312,454,100,170,198,738
Tim Taler - Stalker (18),138,413,103,164,143,552
Tim Taler - Stalker (19),308,402,101,125,194,718
Tim Taler - Stalker (20),221,422,97,134,195,632
Tim Taler - Stalker (21),135,394,102,120,182,509
Tim Taler - Stalker (22),480,503,97,161,258,995
Tim Taler - Stalker (23),386,545,111,238,197,906
Tim Taler - Stalker (24),55,368,36,219,109,424
Tim Taler - Stalker (25),95,320,100,121,104,427
Tim Taler - Stalker (26),143,348,116,152,73,482
Tim Taler - Stalker (27),50,327,102,156,82,388
Tim Taler - Stalker (28),165,391,63,232,128,519
Tim Taler - Stalker (29),117,281,42,162,89,414
Tim Taler - Stalker (30),77,347,111,167,88,423
Tim Taler - Stalker (31),85,322,98,122,97,411
Tim Taler - Stalker (32),195,352,118,161,68,519
Tim Taler - Stalker (33),76,354,100,170,105,432
Tim Taler - Stalker (34),175,434,57,230,112,613
Tim Taler - Stalker (35),162,355,46,213,103,530
Tim Taler - Stalker (36),271,399,74,196,119,678
Tim Taler - Stalker (37),99,466,120,144,203,555
Tim Taler - Stalker (38),318,409,111,124,178,722
Tim Taler - Stalker (39),188,483,147,128,207,672
Tim Taler - Stalker (40),423,539,122,190,234,976
Tim Taler - Stalker (41),147,443,115,134,185,586
Tim Taler - Stalker (42),304,450,134,172,150,758
Tim Taler - Stalker (43),227,430,121,126,189,665
Tim Taler - Stalker (44),225,427,118,124,193,613
Tim Taler - Stalker (45),364,522,139,146,224,896
Tim Taler - Stalker (46),488,528,116,190,213,974
Tim Taler - Stalker (47),119,424,47,194,185,557
Tim Taler - Stalker (48),0,341,89,112,142,341
Tim Taler - Stalker (49),0,471,137,202,136,471
Tim Taler - Stalker (50),0,499,156,200,145,499
Tim Taler - Stalker (51),0,489,150,203,138,489
Tim Taler - Stalker (52),0,475,144,200,136,475
Tim Taler - Stalker (53),0,472,153,197,134,472
Tim Taler - Stalker (54),0,503,150,202,150,503
Tim Taler - Stalker (55),0,465,144,200,131,465
Tim Taler - Stalker (56),0,488,153,196,144,488
Tim Taler - Stalker (57),0,542,164,215,148,542
Tim Taler - Stalker (58),0,561,150,218,186,561
Tim Taler - Stalker (59),51,547,160,200,193,601
Tim Taler - Stalker (60),216,372,138,36,202,562
Tim Taler - Stalker (61),263,341,140,0,199,597
Tim Taler - Stalker (62),116,350,149,0,194,467
Tim Taler - Stalker (63),414,363,139,0,219,767
Tim Taler - Stalker (64),332,355,157,0,195,687
Tim Taler - Stalker (65),156,393,187,76,134,551
Tim Taler - Stalker (66),316,367,52,124,199,685
Tim Taler - Stalker (67),236,338,33,134,174,566
Tim Taler - Stalker (68),177,375,59,120,193,551
Tim Taler - Stalker (69),491,440,34,161,250,950
Tim Taler - Stalker (70),362,464,19,245,206,849
Tim Taler - Stalker (71),1,323,6,199,115,323
Tim Taler - Stalker (72),0,0,0,0,0,0
Tim Taler - Stalker (73),0,0,0,0,0,0
Tim Taler - Stalker (74),0,0,0,0,0,0
Tim Taler - Stalker (75),0,0,0,0,0,0
Tim Taler - Stalker (76),0,0,0,0,0,0
Tim Taler - Stalker (77),0,0,0,0,0,0
Tim Taler - Stalker (78),0,0,0,0,0,0
Tim Taler - Stalker (79),0,0,0,0,0,0
Titanium - Haunted Age (0),0,740,134,158,430,740
Titanium - Haunted Age (1),0,737,105,117,559,737
Titanium - Haunted Age (2),0,665,133,157,370,665
Titanium - Haunted Age (3),0,716,110,129,445,716
Titanium - Haunted Age (4),0,669,157,151,382,669
Titanium - Haunted Age (5),0,1012,122,203,644,1012
Titanium - Haunted Age (6),0,1083,126,242,782,1083
Titanium - Haunted Age (7),0,1125,120,248,738,1124
Titanium - Haunted Age (8),0,1027,120,219,727,1026
Titanium - Haunted Age (9),0,1075,124,261,716,1075
Titanium - Haunted Age (10),0,710,93,101,508,710
Titanium - Haunted Age (11),0,408,0,0,408,408
Titanium - Haunted Age (12),47,536,44,22,480,579
Titanium - Haunted Age (13),246,825,212,125,445,1057
Titanium - Haunted Age (14),255,640,192,108,325,899
Titanium - Haunted Age (15),155,642,195,155,325,779
Titanium - Haunted Age (16),210,718,157,227,352,929
Titanium - Haunted Age (17),266,716,217,258,253,985
Titanium - Haunted Age (18),239,653,216,161,286,875
Titanium - Haunted Age (19),124,533,201,97,231,662
Titanium - Haunted Age (20),181,535,185,120,241,721
Titanium - Haunted Age (21),213,766,239,208,386,981
Titanium - Haunted Age (22),240,664,241,162,322,884
Titanium - Haunted Age (23),189,732,231,182,327,908
Titanium - Haunted Age (24),113,896,267,202,393,1011
Titanium - Haunted Age (25),203,831,175,241,467,1039
Titanium - Haunted Age (26),0,602,83,252,281,601
Titanium - Haunted Age (27),0,542,72,219,261,541
Titanium - Haunted Age (28),0,505,86,196,202,505
Titanium - Haunted Age (29),0,533,66,218,224,533
Titanium - Haunted Age (30),0,613,176,164,254,613
Titanium - Haunted Age (31),0,692,98,309,274,691
Titanium - Haunted Age (32),0,518,69,164,287,518
Titanium - Haunted Age (33),0,588,83,208,317,588
Titanium - Haunted Age (34),0,583,67,216,266,583
Titanium - Haunted Age (35),0,688,156,211,283,688
Titanium - Haunted Age (36),109,524,191,80,213,633
Titanium - Haunted Age (37),114,641,186,126,293,755
Titanium - Haunted Age (38),234,491,187,114,204,735
Titanium - Haunted Age (39),224,600,215,143,250,854
Titanium - Haunted Age (40),216,503,201,103,216,715
Titanium - Haunted Age (41),80,602,188,114,288,673
Titanium - Haunted Age (42),253,913,237,208,383,1166
Titanium - Haunted Age (43),171,652,241,163,282,817
Titanium - Haunted Age (44),187,845,231,189,387,1029
Titanium - Haunted Age (45),216,862,269,199,395,1093
Titanium - Haunted Age (46),193,867,228,207,382,1043
Titanium - Haunted Age (47),256,782,242,175,352,1038
Titanium - Haunted Age (48),259,737,231,166,341,986
Titanium - Haunted Age (49),119,820,255,203,404,937
Titanium - Haunted Age (50),133,940,253,204,479,1074
Titanium - Haunted Age (51),231,739,200,194,364,962
Titanium - Haunted Age (52),0,789,97,312,298,788
Titanium - Haunted Age (53),0,489,68,161,244,489
Titanium - Haunted Age (54),0,524,85,215,216,524
Titanium - Haunted Age (55),0,480,65,211,218,480
Titanium - Haunted Age (56),0,594,156,219,256,594
Titanium - Haunted Age (57),0,610,108,264,260,610
Titanium - Haunted Age (58),0,535,81,161,285,535
Titanium - Haunted Age (59),0,624,72,223,323,624
Titanium - Haunted Age (60),0,552,73,221,249,552
Titanium - Haunted Age (61),0,671,142,241,300,670
Titanium - Haunted Age (62),151,595,147,163,290,737
Titanium - Haunted Age (63),127,1038,132,233,687,1169
Titanium - Haunted Age (64),154,708,111,278,347,856
Titanium - Haunted Age (65),182,729,131,221,424,908
Titanium - Haunted Age (66),56,697,108,264,358,758
Titanium - Haunted Age (67),152,1084,238,255,570,1235
Titanium - Haunted Age (68),195,909,254,218,421,1107
Titanium - Haunted Age (69),186,977,273,264,399,1164
Titanium - Haunted Age (70),142,1263,258,231,707,1388
Titanium - Haunted Age (71),97,1000,274,256,435,1093
Titanium - Haunted Age (72),47,820,172,264,356,866
Titanium - Haunted Age (73),15,668,0,229,429,682
Titanium - Haunted Age (74),0,461,0,0,461,461
Titanium - Haunted Age (75),0,580,0,0,580,580
Titanium - Haunted Age (76),0,799,0,0,799,799
Titanium - Haunted Age (77),0,609,0,0,609,609
Titanium - Haunted Age (78),0,15,0,0,15,15
Titanium - Haunted Age (79),0,0,0,0,0,0
Titanium - Haunted Age (80),0,0,0,0,0,0
Titanium - Haunted Age (81),0,0,0,0,0,0
Titanium - Haunted Age (82),0,0,0,0,0,0
Traffic Experiment - Once More (With Feeling) (0),0,0,0,0,0,0
Traffic Experiment - Once More (With Feeling) (1),0,0,0,0,0,0
Traffic Experiment - Once More (With Feeling) (2),0,996,162,377,472,996
Traffic Experiment - Once More (With Feeling) (3),0,1474,183,483,786,1474
Traffic Experiment - Once More (With Feeling) (4),0,975,98,416,544,975
Traffic Experiment - Once More (With Feeling) (5),0,1190,179,441,562,1190
Traffic Experiment - Once More (With Feeling) (6),0,1373,185,419,822,1373
Traffic Experiment - Once More (With Feeling) (7),0,1221,85,400,722,1221
Traffic Experiment - Once More (With Feeling) (8),41,625,103,388,168,662
Traffic Experiment - Once More (With Feeling) (9),112,624,90,388,163,721
Traffic Experiment - Once More (With Feeling) (10),144,658,91,386,193,817
Traffic Experiment - Once More (With Feeling) (11),42,714,116,384,183,752
Traffic Experiment - Once More (With Feeling) (12),98,707,103,424,178,815
Traffic Experiment - Once More (With Feeling) (13),106,643,92,408,150,751
Traffic Experiment - Once More (With Feeling) (14),119,614,89,377,154,756
Traffic Experiment - Once More (With Feeling) (15),0,801,120,368,264,801
Traffic Experiment - Once More (With Feeling) (16),119,661,85,394,182,792
Traffic Experiment - Once More (With Feeling) (17),109,666,103,366,189,755
Traffic Experiment - Once More (With Feeling) (18),76,723,100,409,195,785
Traffic Experiment - Once More (With Feeling) (19),43,706,117,372,204,755
Traffic Experiment - Once More (With Feeling) (20),138,670,101,387,181,806
Traffic Experiment - Once More (With Feeling) (21),148,694,90,420,180,843
Traffic Experiment - Once More (With Feeling) (22),72,856,190,392,254,949
Traffic Experiment - Once More (With Feeling) (23),302,981,104,438,420,1272
Traffic Experiment - Once More (With Feeling) (24),363,921,95,472,380,1297
Traffic Experiment - Once More (With Feeling) (25),130,918,88,474,333,1058
Traffic Experiment - Once More (With Feeling) (26),134,902,92,414,381,1024
Traffic Experiment - Once More (With Feeling) (27),381,945,91,439,377,1327
Traffic Experiment - Once More (With Feeling) (28),331,751,85,307,345,1108
Traffic Experiment - Once More (With Feeling) (29),243,696,133,209,349,928
Traffic Experiment - Once More (With Feeling) (30),1,1287,198,424,698,1293
Traffic Experiment - Once More (With Feeling) (31),0,1283,143,364,844,1283
Traffic Experiment - Once More (With Feeling) (32),318,828,90,324,410,1143
Traffic Experiment - Once More (With Feeling) (33),250,1213,200,427,677,1467
Traffic Experiment - Once More (With Feeling) (34),0,1381,148,405,807,1381
Traffic Experiment - Once More (With Feeling) (35),0,892,110,308,423,892
Traffic Experiment - Once More (With Feeling) (36),93,728,186,356,150,811
Traffic Experiment - Once More (With Feeling) (37),89,665,230,332,150,754
Traffic Experiment - Once More (With Feeling) (38),97,685,172,352,177,785
Traffic Experiment - Once More (With Feeling) (39),19,754,195,340,212,771
Traffic Experiment - Once More (With Feeling) (40),184,747,212,365,156,913
Traffic Experiment - Once More (With Feeling) (41),103,690,168,337,163,784
Traffic Experiment - Once More (With Feeling) (42),79,759,231,370,196,828
Traffic Experiment - Once More (With Feeling) (43),72,817,243,340,228,897
Traffic Experiment - Once More (With Feeling) (44),137,701,201,389,142,837
Traffic Experiment - Once More (With Feeling) (45),111,772,173,382,221,898
Traffic Experiment - Once More (With Feeling) (46),97,796,238,352,213,872
Traffic Experiment - Once More (With Feeling) (47),149,739,179,358,165,899
Traffic Experiment - Once More (With Feeling) (48),126,800,238,334,172,932
Traffic Experiment - Once More (With Feeling) (49),138,723,199,357,177,853
Traffic Experiment - Once More (With Feeling) (50),68,909,257,397,262,993
Traffic Experiment - Once More (With Feeling) (51),334,949,91,463,441,1296
Traffic Experiment - Once More (With Feeling) (52),315,883,95,420,388,1206
Traffic Experiment - Once More (With Feeling) (53),60,876,97,416,368,934
Traffic Experiment - Once More (With Feeling) (54),248,935,81,387,391,1207
Traffic Experiment - Once More (With Feeling) (55),358,877,94,436,384,1226
Traffic Experiment - Once More (With Feeling) (56),294,618,84,255,313,908
Traffic Experiment - Once More (With Feeling) (57),155,877,163,265,510,1026
Traffic Experiment - Once More (With Feeling) (58),0,1252,202,362,611,1252
Traffic Experiment - Once More (With Feeling) (59),79,1161,111,350,750,1228
Traffic Experiment - Once More (With Feeling) (60),364,966,133,328,506,1310
